hypodd_id,event_id,origin_time_utc,event_lat_x,event_lon_x,event_depth_km_x,origin_time_nlloc,nlloc_lat,nlloc_lon,nlloc_depth_km,nlloc_rms_s,nlloc_nphs,nlloc_gap_deg,nlloc_herr_km,nlloc_verr_km,nlloc_file,event_lat_y,event_lon_y,event_depth_km_y,magnitude,id,lat,lon,dep,x,y,z,ex,ey,ez,yr,mo,dy,hr,mn,sc,mag,nccp,nccs,nctp,ncts,rcc,rct,cid,hypodd_horizontal_shift_km,hypodd_vertical_shift_km,hypodd_shift_3d_km,hypodd_status,qc_small_cluster,qc_nlloc_depth_boundary,final_lat,final_lon,final_depth_km
11,SGC2019vrkvej,2019-11-03T22:25:58.670000Z,6.474833333,-73.75466667,91.05,2019-11-03T22:25:55.576190+00:00,6.377408,-73.794067,107.445312,0.233913,10,213.016,9.384460559883024,15.73947267223397,loc\sgc62.20191103.222611.39.grid0.loc.hyp,6.474833333,-73.75466667,91.05,,11.0,6.377899,-73.794629,107.452,-15804.4,-4845.4,-12361.4,235.3,190.4,131.7,2019.0,11.0,3.0,22.0,25.0,55.58,0.0,0.0,0.0,14.0,0.0,0.0,0.086,4.0,0.08269481147416265,0.006687999999996919,0.08296481898218823,relocated,False,False,6.377899,-73.794629,107.452
12,SGC2019wbnvco,2019-11-09T10:41:11.660000Z,6.568333333,-73.522,110.61,2019-11-09T10:41:08.568732+00:00,6.449541,-73.556605,126.234375,0.2857,10,206.326,10.795415693709993,20.24373977307553,loc\sgc62.20191109.104126.33.grid0.loc.hyp,6.568333333,-73.522,110.61,,12.0,6.449624,-73.55717,126.251,10465.0,3086.5,6438.4,200.7,208.0,127.6,2019.0,11.0,9.0,10.0,41.0,8.57,0.0,0.0,0.0,24.0,0.0,0.0,0.072,4.0,0.06310892350179094,0.016625000000004775,0.0652619862596524,relocated,False,False,6.449624,-73.55717,126.251
13,SGC2019wbptlu,2019-11-09T11:39:36.840000Z,6.683,-73.48166667,28.54,2019-11-09T11:39:36.786948+00:00,6.735497,-73.452219,15.017578,0.164856,10,140.66,6.756840977853482,8.761712161444246,loc\sgc62.20191109.113942.66.grid0.loc.hyp,6.683,-73.48166667,28.54,,13.0,6.73551,-73.451725,14.91,-15387.6,-40355.3,-24477.4,708.3,757.0,1162.0,2019.0,11.0,9.0,11.0,39.0,36.79,0.0,0.0,0.0,9.0,0.0,0.0,0.046,2.0,0.05457281268042821,-0.10757800000000017,0.12062842935167956,relocated,False,False,6.73551,-73.451725,14.91
14,SGC2019wccpcd,2019-11-09T18:06:47.009999Z,7.0935,-73.93566667,19.88,2019-11-09T18:06:45.814652+00:00,7.080447,-73.952392,18.522461,0.138036,10,156.99,3.4519269980693394,3.28838866316012,loc\sgc62.20191109.180651.30.grid0.loc.hyp,7.0935,-73.93566667,19.88,,14.0,7.07967,-73.952458,18.429,-6175.7,-848.2,-8028.4,524.4,679.3,745.9,2019.0,11.0,9.0,18.0,6.0,45.82,0.0,0.0,0.0,13.0,0.0,0.0,0.075,6.0,0.08670882469046948,-0.09346100000000135,0.12748873989573675,relocated,False,False,7.07967,-73.952458,18.429
15,SGC2020agjggo,2020-01-04T11:05:40.409999Z,7.432166667,-73.27516667,123.32,2020-01-04T11:05:39.703114+00:00,7.327503,-73.281085,125.65625,0.28077,9,95.9882,7.651248264172324,21.02196470361417,loc\sgc62.20200104.110556.61.grid0.loc.hyp,7.432166667,-73.27516667,123.32,,15.0,7.327288,-73.279354,125.661,707.4,1393.6,438.0,404.8,330.8,230.9,2020.0,1.0,4.0,11.0,5.0,39.7,0.0,0.0,0.0,26.0,0.0,0.0,0.119,5.0,0.19240642365148253,0.004750000000001364,0.19246504711857107,relocated,False,False,7.327288,-73.279354,125.661
16,SGC2020dtzpwj,2020-02-23T09:06:59.090000Z,7.322333333,-73.48983333,109.67,2020-02-23T09:06:57.273138+00:00,7.267735,-73.491833,120.164062,0.265501,9,64.1537,6.718094968069446,19.337037001567744,loc\sgc62.20200223.090713.91.grid0.loc.hyp,7.322333333,-73.48983333,109.67,,16.0,7.265337,-73.492326,120.155,-22810.3,-5457.6,-5068.0,426.1,539.7,289.2,2020.0,2.0,23.0,9.0,6.0,57.27,0.0,0.0,0.0,9.0,0.0,0.0,0.058,5.0,0.2721462867302871,-0.009062000000000126,0.27229711938447615,relocated,False,False,7.265337,-73.492326,120.155
17,SGC2020gerodj,2020-03-28T12:45:24.800000Z,6.591166667,-73.38966667,121.67,2020-03-28T12:45:21.336194+00:00,6.463968,-73.450274,138.664062,0.325936,9,209.471,12.2534484941995,23.37284749447529,loc\sgc62.20200328.124540.93.grid0.loc.hyp,6.591166667,-73.38966667,121.67,,17.0,6.464072,-73.450464,138.696,22268.7,4684.2,18882.6,104.6,236.7,145.1,2020.0,3.0,28.0,12.0,45.0,21.34,0.0,0.0,0.0,12.0,0.0,0.0,0.067,4.0,0.023968299189392393,0.03193799999999669,0.039931381268771764,relocated,False,False,6.464072,-73.450464,138.696
18,SGC2022hytacc,2022-04-23T14:55:10.240000Z,7.449833333,-73.18983333,138.12,2022-04-23T14:55:12.517934+00:00,7.337807,-73.18815,114.960938,0.124923,9,118.375,5.580645123997762,21.86247927386096,loc\sgc62.20220423.145528.71.grid0.loc.hyp,7.449833333,-73.18983333,138.12,2.8,18.0,7.33795,-73.192448,115.0,10302.9,2572.7,-10222.3,581.9,666.5,303.7,2022.0,4.0,23.0,14.0,55.0,12.52,2.8,0.0,0.0,9.0,0.0,0.0,0.071,5.0,0.4742900402926531,0.03906200000000126,0.47589587323784033,relocated,False,False,7.33795,-73.192448,115.0
19,SGC2022kyajix,2022-06-04T17:21:56.130000Z,7.103333333,-74.41883333,55.19,2022-06-04T17:22:03.113736+00:00,7.05958,-73.901659,26.796875,0.104078,5,277.65,32.674607878289834,26.01645633056124,loc\sgc62.20220604.172208.60.grid0.loc.hyp,7.103333333,-74.41883333,55.19,1.8,19.0,7.060436,-73.901522,26.864,-548.2,-2975.3,407.3,800.0,1093.0,935.1,2022.0,6.0,4.0,17.0,22.0,3.12,1.8,0.0,0.0,4.0,0.0,0.0,0.058,6.0,0.09638041268021039,0.06712500000000077,0.11745190323450601,relocated,False,False,7.060436,-73.901522,26.864
20,SGC2022lnpqkc,2022-06-13T05:09:43.920000Z,7.7155,-73.857,82.47,2022-06-13T05:09:44.186892+00:00,7.507835,-73.826592,85.042969,0.197856,9,245.442,12.201639234135715,11.450152837407892,loc\sgc62.20220613.050956.23.grid0.loc.hyp,7.7155,-73.857,82.47,2.0,20.0,7.511779,-73.826872,85.113,20879.7,11051.2,16443.0,284.1,372.4,349.3,2022.0,6.0,13.0,5.0,9.0,44.16,2.0,0.0,0.0,14.0,0.0,0.0,0.083,1.0,0.4396578121775503,0.07003100000000018,0.4452003288068756,relocated,False,False,7.511779,-73.826872,85.113
