hypodd_id,event_id,origin_time_utc,event_lat_x,event_lon_x,event_depth_km_x,origin_time_nlloc,nlloc_lat,nlloc_lon,nlloc_depth_km,nlloc_rms_s,nlloc_nphs,nlloc_gap_deg,nlloc_herr_km,nlloc_verr_km,nlloc_file,event_lat_y,event_lon_y,event_depth_km_y,magnitude
20,SGC2022lnpqkc,2022-06-13T05:09:43.920000Z,7.7155,-73.857,82.47,2022-06-13T05:09:44.186892+00:00,7.507835,-73.826592,85.042969,0.197856,9,245.442,12.201639234135715,11.450152837407892,loc\sgc62.20220613.050956.23.grid0.loc.hyp,7.7155,-73.857,82.47,2.0
21,SGC2022luluqb,2022-06-16T22:45:18.559999Z,7.2135,-73.80216667,31.58,2022-06-16T22:45:17.692397+00:00,7.193026,-73.823174,32.939453,0.171216,8,126.904,8.85416286274428,8.78510671534501,loc\sgc62.20220616.224523.76.grid0.loc.hyp,7.2135,-73.80216667,31.58,1.8
22,SGC2022mdzfra,2022-06-22T03:10:44.359999Z,7.629,-73.8705,77.95,2022-06-22T03:10:47.144086+00:00,7.363569,-73.969141,54.691406,0.183229,8,240.355,20.361925252784914,15.0691406523398,loc\sgc62.20220622.031055.41.grid0.loc.hyp,7.629,-73.8705,77.95,1.5
23,SGC2022metnph,2022-06-22T13:23:17.640000Z,7.2665,-74.159,65.72,2022-06-22T13:23:16.697519+00:00,7.21312,-74.172777,68.855469,0.166434,7,222.286,12.30861486926941,18.225092592357385,loc\sgc62.20220622.132328.04.grid0.loc.hyp,7.2665,-74.159,65.72,1.8
24,SGC2022mvfomu,2022-07-01T12:37:59.439999Z,6.872833333,-73.2555,128.52,2022-07-01T12:37:58.193983+00:00,6.760743,-73.332814,136.929688,0.291467,8,120.124,10.763642506140753,17.43966742802167,loc\sgc62.20220701.123816.76.grid0.loc.hyp,6.872833333,-73.2555,128.52,2.8
25,SGC2022obwjqd,2022-07-19T07:28:29.359999Z,6.861166667,-73.2815,126.9,2022-07-19T07:28:27.389909+00:00,6.783414,-73.335094,139.53125,0.216883,9,115.887,9.01248578362263,15.71289279540849,loc\sgc62.20220719.072846.22.grid0.loc.hyp,6.861166667,-73.2815,126.9,2.3
26,SGC2022ofpwob,2022-07-21T08:30:09.380000Z,6.385,-73.64716667,109.69,2022-07-21T08:30:07.149571+00:00,6.304245,-73.706869,117.128906,0.150411,9,225.66,5.757447351040216,11.554263282442546,loc\sgc62.20220721.083024.52.grid0.loc.hyp,6.385,-73.64716667,109.69,3.6
27,SGC2022omvgfe,2022-07-25T06:43:32.380000Z,6.700666667,-74.2005,78.16,2022-07-25T06:43:33.914800+00:00,6.66697,-74.119354,51.222656,0.152997,8,153.671,14.219880449567782,20.707752171590233,loc\sgc62.20220725.064343.55.grid0.loc.hyp,6.700666667,-74.2005,78.16,1.5
28,SGC2022oormtr,2022-07-26T06:59:26.079999Z,7.220666667,-74.353,68.14,2022-07-26T06:59:26.354775+00:00,7.173962,-74.329033,59.894531,0.107285,8,236.887,7.529083609576932,11.518116165415245,loc\sgc62.20220726.065938.24.grid0.loc.hyp,7.220666667,-74.353,68.14,1.5
29,SGC2022pdaiuz,2022-08-03T02:29:16.420000Z,6.696333333,-73.6905,55.52,2022-08-03T02:29:09.432505+00:00,6.463968,-73.558883,127.679688,0.235359,8,203.362,13.743580319552835,23.764258877566537,loc\sgc62.20220803.022927.32.grid0.loc.hyp,6.696333333,-73.6905,55.52,2.7
30,SGC2022razkne,2022-08-30T07:44:38.560000Z,7.291166667,-73.48216667,112.79,2022-08-30T07:44:37.826444+00:00,7.241973,-73.490671,118.574219,0.184079,9,102.416,5.863923601139428,13.28333542450841,loc\sgc62.20220830.074454.01.grid0.loc.hyp,7.291166667,-73.48216667,112.79,2.0
31,SGC2023scytrc,2023-09-14T13:30:24.282262Z,7.31765396,-74.4568589,52.0703125,2023-09-14T13:30:25.963596+00:00,7.284223,-74.480086,40.382812,0.115876,7,268.807,19.019989484749985,21.87290561402394,loc\sgc62.20230914.133039.83.grid0.loc.hyp,7.31765396,-74.4568589,52.0703125,2.1
32,SGC2023tdymfy,2023-09-29T06:22:37.710000Z,7.1925,-73.78916667,23.81,2023-09-29T06:22:36.596784+00:00,7.164173,-73.816324,32.361328,0.0327693,8,213.852,13.097442498442206,17.962822718047406,loc\sgc62.20230929.062242.92.grid0.loc.hyp,7.1925,-73.78916667,23.81,2.1
33,SGC2023tnjthq,2023-10-04T09:42:57.649999Z,6.8055,-73.1465,149.53,2023-10-04T09:42:56.026307+00:00,6.736012,-73.151683,162.367188,0.18905,7,152.478,22.06576533909486,38.53517873320429,loc\sgc62.20231004.094317.59.grid0.loc.hyp,6.8055,-73.1465,149.53,3.5
34,SGC2023vzpirs,2023-11-08T09:18:12.580000Z,7.432833333,-74.07966667,25.73,2023-11-08T09:18:11.607082+00:00,7.374904,-74.090454,70.445312,0.131065,8,245.99,20.809997597308847,23.91240263963452,loc\sgc62.20231108.091824.66.grid0.loc.hyp,7.432833333,-74.07966667,25.73,2.6
35,SGC2023wlnqql,2023-11-14T21:20:46.609999Z,7.237166667,-73.32583333,34.34,2023-11-14T21:20:45.553349+00:00,7.227547,-73.307085,39.949219,0.22041,8,198.085,18.014716206479633,16.83683461936952,loc\sgc62.20231114.212054.01.grid0.loc.hyp,7.237166667,-73.32583333,34.34,2.8
