event_id,time_utc,origin_time_utc,event_lat,event_lon,event_depth_km,lat,lon,depth_km,source_x_km,source_y_km,source_z_km,magnitude,magnitude_type,phases,rms_s,gap_deg,error_lat_km,error_lon_km,error_depth_km,region,status,source_depth_class,n_picks,n_stations,stations,selection_source,rms_source,selection_group,quakeml_url,phases_url,map_url,xml_file,selection_score
SGC2026afswai,2026-01-04 02:51:01,2026-01-04T02:51:01.149999Z,6.474166667,-74.1985,71.49,6.474,-74.199,71.49,-132.4225497644528,-58.53576662955995,71.49,2.3,MLr_vmm,95,0.8,32.0,0.707,0.707,2.1,"Cimitarra - Santander, Colombia",manual,depth20_120,7,7,BAR2 BRJC CPAM3 PAM PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2026afswai&file=SGC2026afswai.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2026afswai&date=2026-01-05_13:32:54&anio=2026,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=6.474166667&lon=-74.1985&fc=2026-01-04_02:51:01&pf=71.49&mg=2.3&dm=Cimitarra_-_Santander,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026afswai.xml,97.13333333333333
SGC2025yymqxd,2025-12-20 06:41:46,2025-12-20T06:41:46.359999Z,7.077666667,-74.04,78.19,7.078,-74.04,78.19,-114.90984710474112,8.64585337043999,78.19,1.4,MLr_vmm,27,0.6,69.0,1.202,1.202,2.6,"Yondó (Casabe) - Antioquia, Colombia",manual,depth20_120,7,7,BAR2 BRJC PAM PDSC PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2025yymqxd&file=SGC2025yymqxd.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2025yymqxd&date=2025-12-20_15:31:01&anio=2025,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.077666667&lon=-74.04&fc=2025-12-20_06:41:46&pf=78.19&mg=1.4&dm=Yond�_(Casabe)_-_Antioquia,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025yymqxd.xml,85.8
SGC2025xyrfux,2025-12-06 05:03:23,2025-12-06T05:03:23.920000Z,7.556833333,-73.98116667,84.33,7.557,-73.981,84.33,-108.4093384941986,61.98668662956001,84.33,1.9,MLr_vmm,44,0.5,55.0,0.849,0.849,1.9,"San Pablo - Bolívar, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 PAM PDSC PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2025xyrfux&file=SGC2025xyrfux.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2025xyrfux&date=2025-12-06_15:54:47&anio=2025,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.556833333&lon=-73.98116667&fc=2025-12-06_05:03:23&pf=84.33&mg=1.9&dm=San_Pablo_-_Bol�var,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025xyrfux.xml,106.86666666666666
SGC2026cmuvbi,2026-02-05 07:14:18,2026-02-05T07:14:18.000000Z,7.6555,-73.80266667,86.33,7.656,-73.803,86.33,-88.68683108247154,72.97026,86.33,1.9,MLr_vmm,44,0.5,55.0,0.919,0.919,2.0,"San Pablo - Bolívar, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 PAM PDSC PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2026cmuvbi&file=SGC2026cmuvbi.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2026cmuvbi&date=2026-02-05_14:17:35&anio=2026,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.6555&lon=-73.80266667&fc=2026-02-05_07:14:18&pf=86.33&mg=1.9&dm=San_Pablo_-_Bol�var,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026cmuvbi.xml,106.81666666666666
SGC2026asvptr,2026-01-11 06:12:26,2026-01-11T06:12:26.089999Z,6.507833333,-73.70216667,99.06,6.508,-73.702,99.06,-77.58256220360036,-54.78799337044002,99.06,1.8,MLr_vmm,64,0.8,43.0,1.202,1.202,2.1,"Simacota - Santander, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 PAM PDSC PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2026asvptr&file=SGC2026asvptr.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2026asvptr&date=2026-01-11_13:24:41&anio=2026,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=6.507833333&lon=-73.70216667&fc=2026-01-11_06:12:26&pf=99.06&mg=1.8&dm=Simacota_-_Santander,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026asvptr.xml,104.56666666666666
SGC2026arcexx,2026-01-10 07:22:07,2026-01-10T07:22:07.759999Z,6.976833333,-73.77016667,90.0,6.977,-73.77,90.0,-85.09589836044853,-2.5789133704399907,90.0,1.6,MLr_vmm,41,0.8,49.0,1.344,1.344,2.5,"Barrancabermeja - Santander, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 PAM PDSC PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2026arcexx&file=SGC2026arcexx.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2026arcexx&date=2026-01-10_12:37:39&anio=2026,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=6.976833333&lon=-73.77016667&fc=2026-01-10_07:22:07&pf=90&mg=1.6&dm=Barrancabermeja_-_Santander,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026arcexx.xml,100.01666666666668
SGC2026apmkrl,2026-01-09 10:21:33,2026-01-09T10:21:33.170000Z,6.384666667,-73.63316667,107.49,6.385,-73.633,107.49,-69.95873580915095,-68.49890662955997,107.49,2.2,MLr_vmm,78,0.7,40.0,0.919,0.919,1.8,"Santa Helena del Opón - Santander, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 PAM PDSC PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2026apmkrl&file=SGC2026apmkrl.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2026apmkrl&date=2026-01-09_14:36:28&anio=2026,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=6.384666667&lon=-73.63316667&fc=2026-01-09_10:21:33&pf=107.49&mg=2.2&dm=Santa_Helena_del_Op�n_-_Santander,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2026apmkrl.xml,109.86666666666667
SGC2025yuczzx,2025-12-17 21:32:41,2025-12-17T21:32:41.869999Z,6.544,-73.68766667,104.45,6.544,-73.688,104.45,-75.98045375839024,-50.76192000000004,104.45,2.6,MLr_vmm,98,0.9,38.0,0.919,0.919,2.0,"Simacota - Santander, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 PAM PDSC PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2025yuczzx&file=SGC2025yuczzx.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2025yuczzx&date=2025-12-18_22:45:15&anio=2025,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=6.544&lon=-73.68766667&fc=2025-12-17_21:32:41&pf=104.45&mg=2.6&dm=Simacota_-_Santander,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025yuczzx.xml,109.73333333333333
SGC2025zqwcsx,2025-12-30 06:47:36,2025-12-30T06:47:36.090000Z,6.339333333,-73.59033333,117.92,6.339,-73.59,117.92,-65.2260698953203,-73.54541337044,117.92,3.3,MLr_vmm,93,0.6,41.0,0.707,0.707,1.4,"Santa Helena del Opón - Santander, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 PAM PDSC PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2025zqwcsx&file=SGC2025zqwcsx.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2025zqwcsx&date=2025-12-30_13:52:03&anio=2025,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=6.339333333&lon=-73.59033333&fc=2025-12-30_06:47:36&pf=117.92&mg=3.3&dm=Santa_Helena_del_Op�n_-_Santander,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025zqwcsx.xml,116.43333333333332
SGC2025kgeyrg,2025-05-26 00:19:43,2025-05-26T00:19:43.560000Z,6.560666667,-73.50683333,117.39,6.561,-73.507,117.39,-56.00013505566074,-48.906586629560046,117.39,3.4,MLr_vmm,96,0.8,42.0,0.99,0.99,1.6,"El Carmen - Santander, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAM3 CPAMP PAM PTB1 VMM07 VMM10,sgc_new_events_downloaded_quakeml,sgc_catalog_rms_s,domain_20_120,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2025kgeyrg&file=SGC2025kgeyrg.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2025kgeyrg&date=2025-05-26_02:45:19&anio=2025,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=6.560666667&lon=-73.50683333&fc=2025-05-26_00:19:43&pf=117.39&mg=3.4&dm=El_Carmen_-_Santander,_Colombia",C:\Users\claudia.parra\Documents\Materias_romulo\investigacion\tomografia_localizacion_simultaneas\output_sgc_new_events_joint_vp_relocation_fmm_min4_plus_shallow\data\xml_events\SGC2025kgeyrg.xml,112.9
