dataset,event_id,huber_delta_s,rms_change_s,depth_change_km,horizontal_shift_change_km
new30,SGC2022hytacc,0.5,-1.27675647831893e-15,9.405346560242833e-06,-1.2895198562290489e-06
new30,SGC2022hytacc,1.5,-3.191891195797325e-15,7.206564987427555e-06,-3.9306510046799303e-07
new30,SGC2022mvfomu,0.5,2.8727020762175925e-15,3.720647299587654e-06,-2.3629328804730676e-07
new30,SGC2022mvfomu,1.5,7.868705687030797e-15,3.5477739857014967e-06,-2.415489550600114e-07
new30,SGC2022obwjqd,0.5,-6.106226635438361e-15,3.660329127797013e-06,-5.2749516310512945e-08
new30,SGC2022obwjqd,1.5,-5.2735593669694936e-15,1.0016745477514633e-06,-5.098893662847104e-08
new30,SGC2023scytrc,0.5,-5.315192730392937e-15,-5.997757241971158e-07,-9.017413198364466e-07
new30,SGC2023scytrc,1.5,-1.4016565685892601e-15,-3.567840231255559e-06,-3.5448319550823726e-06
new30,SGC2023tdymfy,0.5,-5.551115123125783e-17,-5.376787726163457e-08,5.966599125883931e-07
new30,SGC2023tdymfy,1.5,2.1649348980190553e-15,-2.552089867435825e-06,-7.013194682770063e-07
new30,SGC2023vzpirs,0.5,0.020380280294974573,7.105427357601002e-15,3.7731188795440485
new30,SGC2023vzpirs,1.5,1.0272331874006113e-09,7.105427357601002e-15,-0.002364211171173025
new30,SGC2023wlnqql,0.5,-2.067790383364354e-15,-1.3329326975508593e-08,1.0572314490531198e-07
new30,SGC2023wlnqql,1.5,-9.020562075079397e-16,-1.579161406084495e-07,2.1270218208968572e-07
new30,SGC2024lyrntx,0.5,0.003385756937392792,0.0,-0.4005094311347599
new30,SGC2024lyrntx,1.5,6.439293542825908e-15,0.0,-3.523497028590228e-07
new30,SGC2024shqvfe,0.5,1.4988010832439613e-15,0.0,-3.901720184273927e-06
new30,SGC2024shqvfe,1.5,-3.4416913763379853e-15,0.0,-2.6943233173426506e-06
new30,SGC2024tcjfvv,0.5,-4.978656376053436e-15,-1.9851160004691337e-07,-3.986820615864417e-07
new30,SGC2024tcjfvv,1.5,-3.2890357104520263e-15,3.4577936958157807e-08,-7.27237731368291e-07
new30,SGC2025kgeyrg,0.5,-4.773959005888173e-15,0.0,1.8179754057712216e-07
new30,SGC2025kgeyrg,1.5,-9.159339953157541e-16,0.0,-4.629545253820311e-07
new30,SGC2025pgzatv,0.5,4.694846875241687e-05,-0.6637158364038882,0.24755399034545178
new30,SGC2025pgzatv,1.5,0.0,-7.105427357601002e-15,0.0
new30,SGC2025qrozun,0.5,2.6380495382227753e-05,-0.9725496146458639,-0.17142114589814383
new30,SGC2025qrozun,1.5,2.5929655304568477e-06,-0.2633226362219716,-0.04656192133400694
new30,SGC2025wvcvfj,0.5,-3.0531133177191805e-16,-1.6179341741917597e-06,-6.459692158955477e-08
new30,SGC2025wvcvfj,1.5,8.604228440844963e-16,-4.8349338612752035e-06,-1.609951745251692e-06
new30,SGC2025xyndwy,0.5,0.026388818992151175,-4.917979781091759,2.7131408288927172
new30,SGC2025xyndwy,1.5,-0.0010056796728373785,0.43418195682681926,-0.3642286959773333
new30,SGC2025xyrfux,0.5,-7.771561172376096e-15,-3.338957554888111e-07,-3.3825003598053627e-07
new30,SGC2025xyrfux,1.5,-1.4155343563970746e-15,1.3237339828719996e-06,-7.811665945212098e-07
