dataset,event_id,seed,relocated_rms_s,delta_horizontal_km,delta_depth_km,relocated_x_km,relocated_y_km,relocated_depth_km,origin_shift_s,depth_boundary,evaluations,elapsed_s,seed_offset,reported_seed,qc_excursion
stratified32,SGC2022pdaiuz,1292373626,1.1869470218787934,24.351663567209354,20.000000000000007,-52.226511135033,-30.091609672434625,75.52000000000001,-0.9462922253214527,True,9030,1.723615299910307,0,True,1.3333333333333337
stratified32,SGC2022pdaiuz,1293373629,1.1869471148122483,24.35166402857437,20.000000000000007,-52.22651123391855,-30.091606005190506,75.52000000000001,-0.9462919528804248,True,9030,2.518720299936831,1,False,1.3333333333333337
stratified32,SGC2022pdaiuz,1294373632,1.18694695269076,24.35166081486409,20.000000000000007,-52.226513633154,-30.091611531504142,75.52000000000001,-0.9462921960589012,True,9030,2.4677387000992894,2,False,1.3333333333333337
stratified32,SGC2022pdaiuz,1295373635,1.186946973830472,24.351661325884848,20.000000000000007,-52.22651322211737,-30.091610844165494,75.52000000000001,-0.9462921732111793,True,9030,1.885178899858147,3,False,1.3333333333333337
stratified32,SGC2022pdaiuz,1296373638,1.1869469550390748,24.351662037376528,20.000000000000007,-52.22651234292591,-30.09161187673894,75.52000000000001,-0.9462923058395569,True,9030,1.7690560002811253,4,False,1.3333333333333337
stratified32,SGC2022pdaiuz,1297373641,1.1869470081690496,24.351662401437583,20.000000000000007,-52.226512292377684,-30.091609816450962,75.52000000000001,-0.9462921597489684,True,9030,1.7046437999233603,5,False,1.3333333333333337
stratified32,SGC2022pdaiuz,1298373644,1.1869469863420596,24.35166225728787,20.000000000000007,-52.22651230736314,-30.091610664821808,75.52000000000001,-0.946292220287976,True,9030,1.3685575001873076,6,False,1.3333333333333337
stratified32,SGC2022pdaiuz,1299373647,1.1869470426064126,24.3516617171257,20.000000000000007,-52.226513242125456,-30.091608148212025,75.52000000000001,-0.946291976388296,True,9030,1.4334995998069644,7,False,1.3333333333333337
stratified32,SGC2022pdaiuz,1300373650,1.1869470431470817,24.351661966057176,20.000000000000007,-52.22651297980329,-30.091608215931092,75.52000000000001,-0.9462919985290243,True,9030,1.9402140998281538,8,False,1.3333333333333337
stratified32,SGC2022pdaiuz,1301373653,1.1869470204038939,24.351662659875448,20.000000000000007,-52.22651209433025,-30.091609405149004,75.52000000000001,-0.9462921429297371,True,9030,1.370813500136137,9,False,1.3333333333333337
stratified32,SGC2019pdbii,2506510999,0.48235021003294676,10.395096814695222,20.0,-83.10049229383185,49.795157730619785,107.38,-2.2040096005355476,True,9030,1.6714890003204346,0,True,1.3333333333333333
stratified32,SGC2019pdbii,2507511002,0.482350210032951,10.395096039589351,20.0,-83.10049289798194,49.79515833681703,107.38,-2.2040096619275973,True,9030,1.4045015000738204,1,False,1.3333333333333333
stratified32,SGC2019pdbii,2508511005,0.48235021003295186,10.3950965595773,20.0,-83.10049170281677,49.79515821475295,107.38,-2.204009617061022,True,9030,1.3931572996079922,2,False,1.3333333333333333
stratified32,SGC2019pdbii,2509511008,0.4823502100329539,10.395099977504948,20.0,-83.1004915210388,49.79515464720974,107.38,-2.2040093579134616,True,9030,1.489153299946338,3,False,1.3333333333333333
stratified32,SGC2019pdbii,2510511011,0.482350210032945,10.395098281623957,20.0,-83.10049172558796,49.795156376120254,107.38,-2.204009487028241,True,9030,1.4155613998882473,4,False,1.3333333333333333
stratified32,SGC2019pdbii,2511511014,0.4823502100329486,10.395097440466682,20.0,-83.10049101563344,49.79515752603365,107.38,-2.204009547287712,True,9030,1.943218699656427,5,False,1.3333333333333333
stratified32,SGC2019pdbii,2512511017,0.4823502100329522,10.395098837810998,20.0,-83.10049261886724,49.79515546305558,107.38,-2.204009449158974,True,9030,1.5720925997011364,6,False,1.3333333333333333
stratified32,SGC2019pdbii,2513511020,0.4823502100329459,10.395098755773821,20.0,-83.10049135440708,49.79515600587524,107.38,-2.2040094494658344,True,9030,1.3873923001810908,7,False,1.3333333333333333
stratified32,SGC2019pdbii,2514511023,0.4823502100329443,10.395097951936494,20.0,-83.10049163133273,49.79515676052007,107.38,-2.204009511504191,True,9030,1.4574528997763991,8,False,1.3333333333333333
stratified32,SGC2019pdbii,2515511026,0.48235021003294665,10.39509822855392,20.0,-83.10049104518235,49.79515667769903,107.38,-2.2040094878679106,True,9030,2.028796900063753,9,False,1.3333333333333333
stratified32,SGC2019pxebo,2187055315,0.5215595473461926,1.339634257602763,20.0,-91.67596774918164,9.289090172657795,110.59,-2.1869032111654567,True,9030,1.7928822999820113,0,True,1.3333333333333333
stratified32,SGC2019pxebo,2188055318,0.5215595489298119,1.339634429442927,20.0,-91.67596746886723,9.289089912147414,110.59,-2.1869031918760777,True,9030,1.7032066001556814,1,False,1.3333333333333333
stratified32,SGC2019pxebo,2189055321,0.5215595423292498,1.3396322394993787,20.0,-91.67596605629832,9.289091781944396,110.59,-2.1869030721779152,True,9030,1.4443234000355005,2,False,1.3333333333333333
stratified32,SGC2019pxebo,2190055324,0.5215595484097955,1.3396338779310606,20.0,-91.67596669386643,9.289090261066416,110.59,-2.1869031309887506,True,9030,1.4863930996507406,3,False,1.3333333333333333
stratified32,SGC2019pxebo,2191055327,0.5215595461691531,1.339633453380361,20.0,-91.6759667727627,9.289090726168675,110.59,-2.186903133648747,True,9030,1.4044848997145891,4,False,1.3333333333333333
stratified32,SGC2019pxebo,2192055330,0.5215595534736229,1.3396344758383005,20.0,-91.67596588233702,9.289089402291012,110.59,-2.186903075883861,True,9030,1.4210959998890758,5,False,1.3333333333333333
stratified32,SGC2019pxebo,2193055333,0.5215595481376352,1.3396334166563457,20.0,-91.67596598592655,9.28909053551649,110.59,-2.1869030756829586,True,9030,2.0003891000524163,6,False,1.3333333333333333
stratified32,SGC2019pxebo,2194055336,0.5215595413841739,1.339632243322884,20.0,-91.67596640987944,9.289091880822767,110.59,-2.186903098132711,True,9030,1.4543392998166382,7,False,1.3333333333333333
stratified32,SGC2019pxebo,2195055339,0.5215595552849513,1.3396351415947265,20.0,-91.67596638344608,9.289088854713123,110.59,-2.186903117528799,True,9030,1.4266793997958302,8,False,1.3333333333333333
stratified32,SGC2019pxebo,2196055342,0.5215595551922485,1.3396345314133922,20.0,-91.67596534885445,9.289089189217062,110.59,-2.1869030371748623,True,9030,1.4008743003942072,9,False,1.3333333333333333
stratified32,SGC2020dtzpwj,2696495899,0.38884823505797184,3.1758585278949867,20.000000000000014,-54.197830696821136,32.70719830290879,129.67000000000002,-2.281104345369929,True,9030,1.895431499928236,0,True,1.3333333333333341
stratified32,SGC2020dtzpwj,2697495902,0.3888482350579712,3.175856866554774,20.000000000000014,-54.197829016136495,32.70719992447878,129.67000000000002,-2.2811043531733723,True,9030,1.4430379997938871,1,False,1.3333333333333341
stratified32,SGC2020dtzpwj,2698495905,0.38884823505796623,3.175857342990622,20.000000000000014,-54.197830206546115,32.70719947641239,129.67000000000002,-2.28110436979615,True,9030,1.3299556002020836,2,False,1.3333333333333341
stratified32,SGC2020dtzpwj,2699495908,0.38884823505797267,3.1758585380205258,20.000000000000014,-54.19783093686773,32.707198298528695,129.67000000000002,-2.281104351440483,True,9030,1.5539845996536314,3,False,1.3333333333333341
stratified32,SGC2020dtzpwj,2700495911,0.38884823505796773,3.1758570053085755,20.000000000000014,-54.197830032637555,32.70719981002673,129.67000000000002,-2.281104375847139,True,9030,1.9330045999959111,4,False,1.3333333333333341
stratified32,SGC2020dtzpwj,2701495914,0.38884823505796756,3.175857102737484,20.000000000000014,-54.19782986912304,32.70719970865429,129.67000000000002,-2.2811043684121337,True,9030,1.4099447997286916,5,False,1.3333333333333341
stratified32,SGC2020dtzpwj,2702495917,0.388848235057968,3.1758572696436667,20.000000000000014,-54.19782974971765,32.70719953884092,129.67000000000002,-2.281104359953865,True,9030,1.3970896997489035,6,False,1.3333333333333341
stratified32,SGC2020dtzpwj,2703495920,0.3888482350579673,3.1758575910952116,20.000000000000014,-54.197830406580906,32.707199233026834,129.67000000000002,-2.281104367274093,True,9030,1.3926181001588702,7,False,1.3333333333333341
stratified32,SGC2020dtzpwj,2704495923,0.3888482350579666,3.175856739680377,20.000000000000014,-54.19783033865656,32.70720008305919,129.67000000000002,-2.281104392396287,True,9030,2.6287827999331057,8,False,1.3333333333333341
stratified32,SGC2020dtzpwj,2705495926,0.3888482350579745,3.175858750258251,20.000000000000014,-54.197831121943686,32.70719809066211,129.67000000000002,-2.2811043496546617,True,9030,2.572783799842,9,False,1.3333333333333341
stratified32,SGC2019wbnvco,1819868056,0.30898886333159836,3.435066585180733,20.000000000000014,-56.551387786123485,-44.80734445750325,130.61,-2.3734094258266136,True,9030,1.4856166001409292,0,True,1.3333333333333341
stratified32,SGC2019wbnvco,1820868059,0.3089888633315995,3.435066427104721,20.000000000000014,-56.551387774830346,-44.80734462870999,130.61,-2.373409428834238,True,9030,1.498120500240475,1,False,1.3333333333333341
