dataset,event_id,rms_min,rms_max,lat_min,lat_max,lon_min,lon_max,depth_min_km,depth_max_km,boundary_methods,dh25_methods,rms_range_s,depth_range_km,horizontal_range_km,within_1m,within_100m
new30,SGC2022hytacc,0.1854976549432349,0.1854976549432365,7.352322084857247,7.3523221042473,-73.24553022124704,-73.24553021440894,155.0197556741059,155.0197648454983,0,0,1.609823385706477e-15,9.17139237799347e-06,2.286912719905583e-06,True,True
new30,SGC2022mvfomu,0.1061599681981239,0.1061599681981298,6.844345915758073,6.844345921503773,-73.31305604585609,-73.31305604020103,140.35939992760072,140.3594048415077,0,0,5.898059818321144e-15,4.913906991532713e-06,8.941549196096428e-07,True,True
new30,SGC2022obwjqd,0.1297513659551783,0.1297513659551858,6.85657081353321,6.856570821018478,-73.31616582344998,-73.3161658198356,146.14128729771934,146.1412924497153,0,0,7.494005416219807e-15,5.151995964070011e-06,9.240157452036531e-07,True,True
new30,SGC2023scytrc,0.0720985021749851,0.0720985021749935,7.153708461121971,7.153708486571396,-74.38646142171372,-74.38646140813643,52.338801968546754,52.338804833507545,0,0,8.396061623727746e-15,2.864960791271187e-06,3.2057032830539677e-06,True,True
new30,SGC2023tdymfy,0.2060670216681666,0.2060670216681734,7.069168236882606,7.069168250740659,-73.7916674371592,-73.79166742893807,42.71521469470619,42.71521867245465,0,0,6.800116025829084e-15,3.977748455952224e-06,1.7902418563270672e-06,True,True
new30,SGC2023vzpirs,0.431035321404993,0.4310353291513862,7.333705001863445,7.333732155619847,-74.07848065406209,-74.07846677787263,45.73,45.73,4,0,7.74639319356396e-09,0.0,0.0033893519103192207,False,True
new30,SGC2023wlnqql,0.098525066339511,0.0985250663395179,7.249524079111643,7.2495240821441564,-73.36221627662331,-73.36221627121255,37.54609565828395,37.54609810583148,0,0,6.897260540483785e-15,2.44754752998233e-06,6.865632523665637e-07,True,True
new30,SGC2024lyrntx,0.2885868086726761,0.2885868086726838,6.839457027551913,6.839457040571424,-73.16130995918017,-73.1613099506967,170.14,170.14,4,0,7.716050021144838e-15,0.0,1.7260272671509967e-06,True,True
new30,SGC2024shqvfe,0.2158270616439825,0.2158270616439847,7.407515909497203,7.407515954307485,-73.21458042683325,-73.2145804146835,119.57,119.57,4,0,2.220446049250313e-15,0.0,5.165758357344924e-06,True,True
new30,SGC2024tcjfvv,0.0170249352377682,0.0170348091008664,7.250725018655242,7.251368203087139,-73.10800071629558,-73.10737780053331,162.10300994727717,162.27469893396906,0,0,9.873863098201069e-06,0.17168898669189048,0.09931511447445215,False,False
new30,SGC2025kgeyrg,0.1944887612145378,0.1944887612145437,6.605849231724751,6.6058492380371,-73.51707708465494,-73.51707707772522,137.39,137.39,4,0,5.9119376061289586e-15,0.0,1.0392401604362215e-06,True,True
new30,SGC2025pgzatv,0.1858530604868601,0.1859598283247535,7.64275658101095,7.649017480905685,-73.77090640059012,-73.76453924498179,58.48532937027498,60.10151413075269,0,0,0.00010676783789340116,1.616184760477708,0.9902940008453924,False,False
new30,SGC2025qrozun,0.1813909765462135,0.1814367515884507,7.109145923847368,7.109846540622375,-73.48479983852624,-73.48286291825372,38.33124652954532,39.63460917882528,0,0,4.577504223721163e-05,1.3033626492799613,0.22777943137413217,False,False
new30,SGC2025wvcvfj,0.1395212234155728,0.1395212234155752,7.3586587108608015,7.35865872847028,-73.96629655581641,-73.96629654529936,75.3925116664735,75.39251675739114,0,4,2.4147350785597155e-15,5.090917639449799e-06,2.2788251229526926e-06,True,True
new30,SGC2025xyndwy,0.5616522489899112,0.5616522906763273,7.225714992977692,7.225715155197523,-73.20236903317671,-73.20236897360833,139.9999999999802,140.00000000234368,0,0,4.16864160968089e-08,2.3634925128135365e-09,1.9220346346894174e-05,True,True
new30,SGC2025xyrfux,0.1976586123158901,0.1976586123158977,7.294633721903386,7.294633728063971,-73.90226322574705,-73.90226321675368,78.50855436169402,78.50855689561878,0,4,7.605027718682322e-15,2.5339247571309897e-06,1.2073587834616441e-06,True,True
new30,SGC2025ycdafx,0.2398172919654197,0.2398172919654277,6.847484620146977,6.8474846387304975,-73.15603566371762,-73.15603565193469,163.2421875,163.2421875,4,0,7.993605777301127e-15,0.0,2.444285677722484e-06,True,True
new30,SGC2025yshmnq,0.3764781164016922,0.3764781164016997,7.252473034428341,7.252473049587122,-73.21772135686189,-73.2177213418112,120.25,120.25,4,0,7.494005416219807e-15,0.0,2.369174913914499e-06,True,True
new30,SGC2025yuczzx,0.1678410050965883,0.1678410050965964,6.542784188127451,6.542784195853581,-73.69515389845519,-73.69515389178186,115.84723170647712,115.84723335432317,0,0,8.104628079763643e-15,1.6478460480584545e-06,1.1328691889503005e-06,True,True
new30,SGC2025yxrhgz,0.5307312173714591,0.5307312179596343,7.462825118379339,7.462825127461864,-73.34670558807005,-73.34670557500527,31.5,31.5,4,0,5.881751752312425e-10,0.0,1.7623949108902164e-06,True,True
new30,SGC2025yymqxd,0.3604434976921085,0.3604434976921178,7.024631928793001,7.024631939500304,-74.0389893948965,-74.03898938491926,72.57723378333058,72.57723644777623,0,0,9.325873406851315e-15,2.6644456454505416e-06,1.6235678665166426e-06,True,True
new30,SGC2025zqwcsx,0.140452443375106,0.1404524433751147,6.388521910721294,6.388521925949269,-73.57712609722368,-73.57712609247504,132.93402707264914,132.93403067858696,0,0,8.68749516769185e-15,3.6059378203390224e-06,1.7745187608199732e-06,True,True
new30,SGC2026afswai,0.2050265257680127,0.2050265257700827,6.495084449352861,6.49508444936507,-74.10596925689977,-74.1059692425534,73.53018648471455,73.53021062671124,0,0,2.0700108294136044e-12,2.41419966897638e-05,1.5851343492048111e-06,True,True
