dataset,huber_delta_s,events,median_abs_rms_change_s,median_abs_depth_change_km,max_abs_depth_change_km,median_abs_horizontal_change_km
new30,0.5,30,5.134781488891349e-15,1.2431026554793334e-06,4.917979781091759,1.209199755880519e-06
new30,1.5,30,3.2404634531246757e-15,4.6805582343267815e-07,0.5696609177319942,7.142785998226486e-07
stratified32,0.5,32,0.0007995118001749013,3.901932224437132e-06,8.927948275297652,0.266743127000004
stratified32,1.5,32,3.95516952522712e-15,5.64704720318332e-07,3.583115675465976,7.941474415851246e-07
