dataset,event_id,method,terminal_objective_s,target_objective_s,reached_objective_s,iterations,evaluations,elapsed_s,full_elapsed_s,time_fraction
stratified32,SGC2019nhquk,PSO,0.592425468115742,0.592525468115742,0.5925076364150519,59,1800,0.13081130012869835,1.0040088999085128,0.13028898463013439
stratified32,SGC2019nhquk,LPSO,0.5924254681157449,0.5925254681157449,0.592505099267587,104,3150,0.440493400208652,1.922850999981165,0.22908348083807162
stratified32,SGC2019nhquk,HSSO-no-helix,0.5924254681157437,0.5925254681157437,0.5924991509673649,18,570,0.09990680031478405,2.3377890000119805,0.0427355934664215
stratified32,SGC2019nhquk,HSSO-E,0.59242546811575,0.59252546811575,0.5924533141385788,21,660,0.10619809990748763,2.973903399892152,0.035710003193559985
stratified32,SGC2019ioilw,PSO,0.4050920236597195,0.4051920236597195,0.4051694783501034,92,2790,0.2127009998075664,1.5619875001721084,0.1361733047057866
stratified32,SGC2019ioilw,LPSO,0.4050920236597111,0.4051920236597111,0.4051757553324496,88,2670,0.3681382997892797,1.9281754000112412,0.19092573206106325
stratified32,SGC2019ioilw,HSSO-no-helix,0.4050920236597121,0.4051920236597121,0.40518067285778486,20,630,0.16220019990578294,3.033021799754352,0.05347808575557213
stratified32,SGC2019ioilw,HSSO-E,0.4050920236597137,0.4051920236597137,0.4051377297680475,40,1230,0.27605949994176626,3.2055274001322687,0.08611983785581596
stratified32,SGC2019qdhsi,PSO,0.5358447806182244,0.5359447806182244,0.5359363059940536,87,2640,0.23203299986198545,1.2681195000186565,0.18297408080119562
stratified32,SGC2019qdhsi,LPSO,0.535844780618221,0.535944780618221,0.5359165060002444,53,1620,0.16731799999251962,1.1169968997128308,0.14979271655591478
stratified32,SGC2019qdhsi,HSSO-no-helix,0.5358447806182255,0.5359447806182255,0.5359066401928116,22,690,0.12501429999247193,1.8157337000593543,0.06885056987618028
stratified32,SGC2019qdhsi,HSSO-E,0.535844780618232,0.535944780618232,0.535932394384901,34,1050,0.20702149998396635,3.1737146000377834,0.06523003044492462
stratified32,SGC2019wccpcd,PSO,0.5864326428109934,0.5865326428109934,0.5864973851135672,65,1980,0.22330550011247396,0.9757513999938964,0.2288549113164181
stratified32,SGC2019wccpcd,LPSO,0.586432642810996,0.586532642810996,0.5864539744618116,91,2760,0.3411169000901282,1.0762910000048578,0.31693742685629495
stratified32,SGC2019wccpcd,HSSO-no-helix,0.5864326428109929,0.5865326428109929,0.5864763067606329,22,690,0.1264042998664081,1.684522199910134,0.07503866667542376
stratified32,SGC2019wccpcd,HSSO-E,0.5864326428109954,0.5865326428109954,0.5864348765973442,28,870,0.22920010006055236,1.5894439001567662,0.144201440540271
stratified32,SGC2019tgdbei,PSO,0.3497678219773101,0.3498678219773101,0.3498622016867093,66,2010,0.17223350005224347,0.8424435001797974,0.2044451645902482
