dataset,method,events,median_iterations,median_evaluations,median_time_s,median_full_time_s,median_time_fraction
new30,HSSO-E,30,25.5,795.0,0.127219749847427,1.4439296501222998,0.09203653728626315
new30,HSSO-no-helix,30,19.5,615.0,0.10081914998590946,1.3648657999001441,0.07503942207021397
new30,LPSO,30,77.5,2355.0,0.2732314998283982,0.8606533000711352,0.30960062027307106
new30,PSO,30,72.5,2205.0,0.15902439993806183,0.5701894499361515,0.2756407961845226
stratified32,HSSO-E,32,23.5,735.0,0.16174525022506714,1.5802260502241552,0.0895548529266138
stratified32,HSSO-no-helix,32,18.5,585.0,0.11051305010914803,1.6743159999605268,0.0724878423351475
stratified32,LPSO,32,78.5,2385.0,0.2614480000920594,1.1159294999670237,0.23867361375742524
stratified32,PSO,32,65.5,1995.0,0.14934634976089,0.7241444501560181,0.15805641225710404
