dataset,event_id,method,seed,evaluations,optimizer_elapsed_s,n_stations,sgc_lat,sgc_lon,sgc_depth_km,relocated_lat,relocated_lon,relocated_depth_km,origin_shift_s,sgc_model_rms_s,relocated_rms_s,huber_objective_s,rms_reduction_s,delta_horizontal_km,delta_depth_km,depth_lower_km,depth_upper_km,depth_boundary,large_horizontal_shift,large_vertical_shift
stratified32,SGC2019nhquk,PSO,409191320,9030,1.0040088999085128,9,7.701666667,-73.23783333,9.78,7.779571823999151,-73.24991846805706,17.625322694563863,-2.0680064602119828,0.7112763361659181,0.5945537639526097,0.592425468115742,0.1167225722133084,8.7745972313186,7.845322694563864,0.5,29.78,False,False,False
stratified32,SGC2019nhquk,LPSO,409191320,9030,1.922850999981165,9,7.701666667,-73.23783333,9.78,7.7795718152559585,-73.24991846758809,17.625322412376974,-2.0680063323166697,0.7112763361659181,0.5945537650255173,0.5924254681157449,0.11672257114040085,8.77459626147682,7.845322412376975,0.5,29.78,False,False,False
stratified32,SGC2019nhquk,HSSO-no-helix,409191320,9030,2.3377890000119805,9,7.701666667,-73.23783333,9.78,7.779571852836613,-73.24991846221288,17.625321932128998,-2.0680068250105554,0.7112763361659181,0.5945537669111023,0.5924254681157437,0.11672256925481583,8.77460030585232,7.845321932128998,0.5,29.78,False,False,False
stratified32,SGC2019nhquk,HSSO-E,409191320,9030,2.9739033998921514,9,7.701666667,-73.23783333,9.78,7.779571892012816,-73.24991846459545,17.62532213529602,-2.0680073175750344,0.7112763361659181,0.5945537661791681,0.59242546811575,0.11672256998675001,8.77460465621594,7.845322135296021,0.5,29.78,False,False,False
stratified32,SGC2019ioilw,PSO,2804065898,9030,1.5619875001721084,9,6.880166667,-73.48016667,1.16,6.902911704430286,-73.49603563230963,5.730852112496782,-1.7688971430199647,0.5512528401960916,0.4050920236597195,0.4050920236597195,0.14616081653637203,3.0798052991598817,4.570852112496782,0.5,21.16,False,False,False
stratified32,SGC2019ioilw,LPSO,2804065898,9030,1.9281754000112414,9,6.880166667,-73.48016667,1.16,6.902911707019182,-73.49603563694308,5.73085366158145,-1.7688970111396642,0.5512528401960916,0.4050920236597111,0.4050920236597111,0.14616081653638047,3.0798058275512967,4.57085366158145,0.5,21.16,False,False,False
stratified32,SGC2019ioilw,HSSO-no-helix,2804065898,9030,3.0330217997543514,9,6.880166667,-73.48016667,1.16,6.902911706384488,-73.49603563483599,5.730852890399225,-1.7688970741935037,0.5512528401960916,0.4050920236597121,0.4050920236597121,0.14616081653637947,3.079805636921857,4.570852890399225,0.5,21.16,False,False,False
stratified32,SGC2019ioilw,HSSO-E,2804065898,9030,3.2055274001322687,9,6.880166667,-73.48016667,1.16,6.902911703949137,-73.49603563689487,5.730852601867822,-1.7688971627853736,0.5512528401960916,0.40509202365971375,0.40509202365971375,0.1461608165363778,3.079805543552705,4.570852601867822,0.5,21.16,False,False,False
stratified32,SGC2019qdhsi,PSO,371238130,9030,1.2681195000186563,10,6.958,-73.9805,18.13,6.953841768319114,-74.00159458711546,23.258061363750816,-1.2457826549237163,0.5727687083769935,0.5358447806182244,0.5358447806182244,0.03692392775876907,2.3762676255615838,5.128061363750817,0.5,38.129999999999995,False,False,False
stratified32,SGC2019qdhsi,LPSO,371238130,9030,1.1169968997128308,10,6.958,-73.9805,18.13,6.953841768983369,-74.00159459344148,23.25806082560426,-1.2457827130555037,0.5727687083769935,0.535844780618221,0.535844780618221,0.0369239277587724,2.376268296730193,5.128060825604262,0.5,38.129999999999995,False,False,False
